Qual sua idade? ,Qual sua altura em metros?,Seu peso em kg.,Sexo?,Grau de escolaridade?,Em qual estado você nasceu?,Em quantos irmãos vocês são (contando contigo)?,"Quantos membros tem sua família? (Quantos moram contigo, ou 1 caso more sozinho)",Você trabalha/estuda atualmente?,Qual atividade realiza com mais frequência?
20,1.82,85,M,Ensino superior (completo ou incompleto),SP,3,5,trabalho e estudo,Cozinhar
25,1.72,64,M,Pós-graduação (completo ou incompleto),MS,5,1,estudo,Rede social
29,1.82,65,M,Pós-graduação (completo ou incompleto),SP,1,2,estudo,Ler livro
27,1.63,60,F,Pós-graduação (completo ou incompleto),MS,2,4,trabalho,Assistir TV
28,1.57,63,F,Ensino superior (completo ou incompleto),MS,2,3,estudo,Rede social
41,1.60,85,F,Ensino superior (completo ou incompleto),RO,4,4,trabalho e estudo,Assistir TV
27,1.90,140,M,Pós-graduação (completo ou incompleto),MG,2,4,trabalho e estudo,Praticar esporte
34,1.30,54,F,6º ao 9º ano,MS,4,4,"nem trabalho, nem estudo",Assistir TV
18,1.60,45,F,Ensino médio (completo ou incompleto),MS,2,4,"nem trabalho, nem estudo",Cozinhar
27,1.75,85,M,Ensino superior (completo ou incompleto),MS,3,2,trabalho e estudo,Ler livro
27,1.90,140,M,Pós-graduação (completo ou incompleto),MG,2,4,trabalho e estudo,Praticar esporte
32,1.82,91,M,Pós-graduação (completo ou incompleto),MS,4,4,trabalho,Ler livro
39,1.70,68,F,Ensino superior (completo ou incompleto),MS,3,3,trabalho,Assistir TV
19,1.75,65,M,Ensino superior (completo ou incompleto),SP,2,4,estudo,Jogar videogame
23,1.82,67,M,Pós-graduação (completo ou incompleto),GO,2,4,estudo,Jogar videogame
31,1.85,107,M,Pós-graduação (completo ou incompleto),SP,2,2,trabalho e estudo,Jogar videogame
31,1.83,80,M,Pós-graduação (completo ou incompleto),SP,2,4,trabalho e estudo,Ler livro
20,1.71,93,M,Ensino superior (completo ou incompleto),SP,1,3,estudo,Rede social
27,1.59,70,F,Pós-graduação (completo ou incompleto),SP,0,4,trabalho e estudo,Assistir TV
29,1.73,75,F,Pós-graduação (completo ou incompleto),RJ,3,6,trabalho e estudo,Rede social
20,1.74,75,M,Ensino superior (completo ou incompleto),SP,1,3,estudo,Jogar videogame
29,1.68,57,F,Pós-graduação (completo ou incompleto),SP,3,2,trabalho e estudo,Jogar videogame
32,1.77,77,M,Pós-graduação (completo ou incompleto),PI,5,2,trabalho e estudo,Cozinhar
32,1.67,76,M,Pós-graduação (completo ou incompleto),SP,3,2,trabalho e estudo,Assistir TV
19,1.59,53,F,Ensino superior (completo ou incompleto),SP,3,5,trabalho e estudo,Ler livro
27,1.75,75,M,Ensino superior (completo ou incompleto),SP,7,1,trabalho,Praticar esporte
22,1.78,63,M,Ensino superior (completo ou incompleto),SP,2,4,estudo,Rede social
30,1.67,52,F,Ensino superior (completo ou incompleto),SP,3,5,trabalho,Rede social
19,1.51,47,F,Ensino superior (completo ou incompleto),SP,3,6,trabalho e estudo,Ler livro
43,1.53,100,F,Ensino médio (completo ou incompleto),SP,3,2,estudo,Assistir TV
24,1.77,62,M,Pós-graduação (completo ou incompleto),SP,2,1,trabalho,Rede social
40,1.78,90,M,Pós-graduação (completo ou incompleto),SP,2,3,trabalho e estudo,Jogar videogame
23,1.76,110,M,Ensino superior (completo ou incompleto),MG,2,3,trabalho e estudo,Jogar videogame
28,1.70,86,M,Pós-graduação (completo ou incompleto),PR,2,1,trabalho e estudo,Ler livro
28,1.82,90,M,Ensino superior (completo ou incompleto),SP,2,2,trabalho e estudo,Ler livro
30,1.85,94,M,Ensino superior (completo ou incompleto),MS,3,2,trabalho,Ler livro
20,1.64,43,F,Ensino superior (completo ou incompleto),SP,2,4,estudo,Rede social
30,1.55,60,F,Ensino superior (completo ou incompleto),SP,1,1,estudo,Cozinhar
21,1.58,63,F,Ensino médio (completo ou incompleto),SP,5,2,"nem trabalho, nem estudo",Assistir TV
27,1.85,93,M,Pós-graduação (completo ou incompleto),Estrangeiro,7,3,trabalho,Jogar videogame
51,1.53,76,F,Ensino médio (completo ou incompleto),SP,3,3,trabalho,Rede social
47,1.56,56,F,Ensino superior (completo ou incompleto),SP,4,4,trabalho e estudo,Ler livro
13,1.56,53,M,6º ao 9º ano,SP,3,4,estudo,Jogar videogame
34,1.76,85,M,Pós-graduação (completo ou incompleto),SP,3,5,trabalho e estudo,Assistir TV
22,1.67,75,F,Ensino superior (completo ou incompleto),SP,2,3,estudo,Ler livro
19,1.63,77,F,Ensino superior (completo ou incompleto),SP,3,4,estudo,Rede social
20,1.87,136,M,Ensino superior (completo ou incompleto),SP,2,4,trabalho e estudo,Rede social
19,1.7,80,F,Ensino médio (completo ou incompleto),SP,3,4,estudo,Rede social
19,1.64,45,F,Ensino médio (completo ou incompleto),SP,3,4,"nem trabalho, nem estudo",Rede social
